ID	Titles
1797	042913-SludgeD1_19-24, Cmpd 11833, +MSn(467.5902), 26.27 min
1828	042913-SludgeD1_25-30, Cmpd 9683, +MSn(404.2126), 22.08 min
1857	042913-SludgeD1_25-30, Cmpd 5069, +MSn(641.6302), 12.58 min
1860	042913-SludgeD1_13-18, Cmpd 14398, +MSn(453.2445), 31.49 min
1864	042913-SludgeD1_1-6, Cmpd 14862, +MSn(464.9151), 35.26 min
1870	042913-SludgeD1_13-18, Cmpd 5432, +MSn(481.5769), 13.51 min
1885	042913-SludgeD1_19-24, Cmpd 12019, +MSn(487.597), 26.59 min
1887	042913-SludgeD1_25-30, Cmpd 6543, +MSn(666.6162), 16.27 min
1900	042913-SludgeD1_13-18, Cmpd 6523, +MSn(443.5395), 16.25 min
1940	042913-SludgeD1_13-18, Cmpd 18118, +MSn(613.9681), 39.25 min
1947	042913-SludgeD1_25-30, Cmpd 9595, +MSn(413.5637), 21.93 min
2024	042913-SludgeD1_19-24, Cmpd 9923, +MSn(405.2032), 22.82 min
2047	042913-SludgeD1_25-30, Cmpd 22020, +MSn(771.735), 47.17 min;042913-SludgeD1_13-18, Cmpd 21274, +MSn(771.74), 47.03 min;042913-SludgeD1_1-6, Cmpd 19774, +MSn(771.73), 47.40 min;042913-SludgeD1_1-6, Cmpd 19846, +MSn(771.7354), 47.58 min;042913-SludgeD1_1-6, Cmpd 19923, +MSn(771.7363), 47.76 min;042913-SludgeD1_25-30, Cmpd 21939, +MSn(771.7348), 46.96 min
2137	042913-SludgeD1_13-18, Cmpd 17509, +MSn(519.543), 37.81 min;042913-SludgeD1_13-18, Cmpd 17421, +MSn(519.54), 37.60 min
2157	042913-SludgeD1_19-24, Cmpd 29537, +MSn(427.2657), 67.20 min
2200	042913-SludgeD1_19-24, Cmpd 11755, +MSn(506.5673), 26.13 min
2202	042913-SludgeD1_13-18, Cmpd 19882, +MSn(604.6589), 43.50 min
2262	042913-SludgeD1_25-30, Cmpd 19225, +MSn(526.2991), 40.02 min
2287	042913-SludgeD1_19-24, Cmpd 7601, +MSn(487.2513), 18.54 min;042913-SludgeD1_19-24, Cmpd 7706, +MSn(487.2513), 18.74 min
2291	042913-SludgeD1_13-18, Cmpd 19074, +MSn(458.2482), 41.48 min;042913-SludgeD1_13-18, Cmpd 19173, +MSn(458.25), 41.73 min
