ID	Titles
284	042913-SludgeD1_19-24, Cmpd 36417, +MSn(526.36), 84.79 min
285	042913-SludgeD1_19-24, Cmpd 4642, +MSn(738.39), 11.52 min
286	042913-SludgeD1_19-24, Cmpd 28607, +MSn(545.27), 64.75 min|042913-SludgeD1_13-18, Cmpd 28303, +MSn(545.27), 64.76 min
287	042913-SludgeD1_25-30, Cmpd 14074, +MSn(476.27), 30.02 min
288	042913-SludgeD1_13-18, Cmpd 26097, +MSn(515.32), 59.18 min
289	042913-SludgeD1_19-24, Cmpd 30049, +MSn(489.32), 68.55 min
290	042913-SludgeD1_13-18, Cmpd 3920, +MSn(1086.57), 9.64 min
291	042913-SludgeD1_13-18, Cmpd 3832, +MSn(1070.06), 9.41 min
292	042913-SludgeD1_25-30, Cmpd 21869, +MSn(616.82), 46.78 min
293	042913-SludgeD1_25-30, Cmpd 23977, +MSn(506.76), 52.09 min
294	042913-SludgeD1_1-6, Cmpd 2134, +MSn(1105.68), 5.69 min|042913-SludgeD1_1-6, Cmpd 2434, +MSn(1105.69), 6.45 min
295	042913-SludgeD1_25-30, Cmpd 3701, +MSn(1006.58), 9.05 min
296	042913-SludgeD1_19-24, Cmpd 29860, +MSn(638.83), 68.06 min
297	042913-SludgeD1_25-30, Cmpd 4097, +MSn(1081.57), 10.06 min
298	042913-SludgeD1_1-6, Cmpd 2444, +MSn(837.63), 6.48 min
299	042913-SludgeD1_25-30, Cmpd 3637, +MSn(799.78), 8.88 min
300	042913-SludgeD1_25-30, Cmpd 11952, +MSn(463.23), 26.06 min
301	042913-SludgeD1_19-24, Cmpd 3885, +MSn(688.54), 9.55 min
302	042913-SludgeD1_25-30, Cmpd 29066, +MSn(580.8), 65.27 min
303	042913-SludgeD1_13-18, Cmpd 12504, +MSn(507.26), 27.81 min
304	042913-SludgeD1_19-24, Cmpd 29096, +MSn(728.26), 66.05 min
305	042913-SludgeD1_19-24, Cmpd 21830, +MSn(602.83), 47.36 min
306	042913-SludgeD1_19-24, Cmpd 25009, +MSn(620.37), 55.50 min
307	042913-SludgeD1_25-30, Cmpd 30646, +MSn(972.44), 69.51 min
308	042913-SludgeD1_19-24, Cmpd 26112, +MSn(496.98), 58.26 min
309	042913-SludgeD1_25-30, Cmpd 26312, +MSn(506.3), 58.04 min
310	042913-SludgeD1_1-6, Cmpd 19214, +MSn(640.84), 46.00 min
311	042913-SludgeD1_19-24, Cmpd 13000, +MSn(564.3), 28.33 min
312	042913-SludgeD1_19-24, Cmpd 29702, +MSn(497.27), 67.65 min
313	042913-SludgeD1_25-30, Cmpd 13076, +MSn(523.79), 28.05 min
314	042913-SludgeD1_13-18, Cmpd 13966, +MSn(466.27), 30.70 min
315	042913-SludgeD1_25-30, Cmpd 17378, +MSn(416.23), 36.00 min
316	042913-SludgeD1_25-30, Cmpd 9944, +MSn(473.74), 22.51 min
